temperature_K,time_ps,frame_index,n_pure,n_err
1600,616.000000,307,0,0.000000
1600,628.000000,313,0,0.000000
1600,640.000000,319,0,0.000000
1600,654.000000,326,0,0.000000
1600,666.000000,332,0,0.000000
1600,678.000000,338,0,0.000000
1600,690.000000,344,0,0.000000
1600,704.000000,351,0,0.000000
1600,716.000000,357,0,0.000000
1600,728.000000,363,0,0.000000
1600,742.000000,370,0,0.000000
1600,754.000000,376,0,0.000000
1600,766.000000,382,0,0.000000
1600,778.000000,388,0,0.000000
1600,792.000000,395,0,0.000000
1600,804.000000,401,0,0.000000
1600,816.000000,407,0,0.000000
1600,828.000000,413,0,0.000000
1600,842.000000,420,0,0.000000
1600,854.000000,426,0,0.000000
1600,866.000000,432,0,0.000000
1600,878.000000,438,0,0.000000
1600,892.000000,445,0,0.000000
1600,904.000000,451,0,0.000000
1600,916.000000,457,0,0.000000
1600,928.000000,463,0,0.000000
1600,942.000000,470,0,0.000000
1600,954.000000,476,0,0.000000
1600,966.000000,482,0,0.000000
1600,980.000000,489,0,0.000000
1600,992.000000,495,0,0.000000
1600,1004.000000,501,0,0.000000
1600,1016.000000,507,0,0.000000
1600,1030.000000,514,0,0.000000
1600,1042.000000,520,0,0.000000
1600,1054.000000,526,0,0.000000
1600,1066.000000,532,0,0.000000
1600,1080.000000,539,0,0.000000
1600,1092.000000,545,0,0.000000
1600,1104.000000,551,0,0.000000
1600,1116.000000,557,0,0.000000
1600,1130.000000,564,0,0.000000
1600,1142.000000,570,0,0.000000
1600,1154.000000,576,0,0.000000
1600,1166.000000,582,0,0.000000
1600,1180.000000,589,0,0.000000
1600,1192.000000,595,0,0.000000
1600,1204.000000,601,0,0.000000
1600,1218.000000,608,0,0.000000
1600,1230.000000,614,0,0.000000
1600,1242.000000,620,0,0.000000
1600,1254.000000,626,0,0.000000
1600,1268.000000,633,0,0.000000
1600,1280.000000,639,0,0.000000
1600,1292.000000,645,0,0.000000
1600,1304.000000,651,0,0.000000
1600,1318.000000,658,0,0.000000
1600,1330.000000,664,0,0.000000
1600,1342.000000,670,0,0.000000
1600,1354.000000,676,0,0.000000
1600,1368.000000,683,0,0.000000
1600,1380.000000,689,0,0.000000
1600,1392.000000,695,0,0.000000
1600,1404.000000,701,0,0.000000
1600,1418.000000,708,0,0.000000
1600,1430.000000,714,0,0.000000
1600,1442.000000,720,0,0.000000
1600,1456.000000,727,0,0.000000
1600,1468.000000,733,0,0.000000
1600,1480.000000,739,0,0.000000
1600,1492.000000,745,0,0.000000
1600,1506.000000,752,0,0.000000
1600,1518.000000,758,0,0.000000
1600,1530.000000,764,0,0.000000
1600,1542.000000,770,0,0.000000
1600,1556.000000,777,0,0.000000
1600,1568.000000,783,0,0.000000
1600,1580.000000,789,0,0.000000
1600,1592.000000,795,0,0.000000
1600,1606.000000,802,0,0.000000
1600,1618.000000,808,0,0.000000
1600,1630.000000,814,0,0.000000
1600,1642.000000,820,0,0.000000
1600,1656.000000,827,0,0.000000
1600,1668.000000,833,0,0.000000
1600,1680.000000,839,0,0.000000
1600,1694.000000,846,0,0.000000
1600,1706.000000,852,0,0.000000
1600,1718.000000,858,0,0.000000
1600,1730.000000,864,0,0.000000
1600,1744.000000,871,0,0.000000
1600,1756.000000,877,0,0.000000
1600,1768.000000,883,0,0.000000
1600,1780.000000,889,0,0.000000
1600,1794.000000,896,0,0.000000
1600,1806.000000,902,0,0.000000
1600,1818.000000,908,0,0.000000
1600,1830.000000,914,0,0.000000
1600,1844.000000,921,0,0.000000
1600,1856.000000,927,0,0.000000
1600,1868.000000,933,0,0.000000
1600,1880.000000,939,0,0.000000
1600,1894.000000,946,0,0.000000
1600,1906.000000,952,0,0.000000
1600,1918.000000,958,0,0.000000
1600,1932.000000,965,1,1.000000
1600,1944.000000,971,0,0.000000
1600,1956.000000,977,0,0.000000
1600,1968.000000,983,0,0.000000
1600,1982.000000,990,0,0.000000
1600,1994.000000,996,0,0.000000
1600,2006.000000,1002,0,0.000000
1600,2018.000000,1008,0,0.000000
1600,2032.000000,1015,0,0.000000
1600,2044.000000,1021,0,0.000000
1600,2056.000000,1027,0,0.000000
1600,2068.000000,1033,0,0.000000
1600,2082.000000,1040,0,0.000000
1600,2094.000000,1046,0,0.000000
1600,2106.000000,1052,0,0.000000
1600,2118.000000,1058,0,0.000000
1600,2132.000000,1065,0,0.000000
1600,2144.000000,1071,0,0.000000
1600,2156.000000,1077,0,0.000000
1600,2170.000000,1084,0,0.000000
1600,2182.000000,1090,0,0.000000
1600,2194.000000,1096,0,0.000000
1600,2206.000000,1102,0,0.000000
1600,2220.000000,1109,0,0.000000
1600,2232.000000,1115,0,0.000000
1600,2244.000000,1121,0,0.000000
1600,2256.000000,1127,0,0.000000
1600,2270.000000,1134,0,0.000000
1600,2282.000000,1140,0,0.000000
1600,2294.000000,1146,0,0.000000
1600,2306.000000,1152,0,0.000000
1600,2320.000000,1159,0,0.000000
1600,2332.000000,1165,0,0.000000
1600,2344.000000,1171,0,0.000000
1600,2356.000000,1177,0,0.000000
1600,2370.000000,1184,0,0.000000
1600,2382.000000,1190,0,0.000000
1600,2394.000000,1196,0,0.000000
1600,2408.000000,1203,0,0.000000
1600,2420.000000,1209,0,0.000000
1600,2432.000000,1215,0,0.000000
1600,2444.000000,1221,0,0.000000
1600,2458.000000,1228,0,0.000000
1600,2470.000000,1234,0,0.000000
1600,2482.000000,1240,0,0.000000
1600,2494.000000,1246,0,0.000000
1600,2508.000000,1253,0,0.000000
1600,2520.000000,1259,0,0.000000
1600,2532.000000,1265,0,0.000000
1600,2544.000000,1271,0,0.000000
1600,2558.000000,1278,0,0.000000
1600,2570.000000,1284,0,0.000000
1600,2582.000000,1290,0,0.000000
1600,2594.000000,1296,0,0.000000
1600,2608.000000,1303,0,0.000000
1600,2620.000000,1309,0,0.000000
